ts_epoch,ts_iso,mode,profile_id,profile_name,raw_present,filt_occupied,moving,stationary,lux,lux_smooth,moving_age_ms,moving_events,sensor_age_s,move_dist,move_energy,still_dist,still_energy,sensor_seq,confirm_count,filter_stage,lamp_is_off,lamp_level,lamp_temp_dtr,lamp_temp_dtr1,cct_kelvin,runtime_s,action,reason,rationale,user_text,circadian_phase,weather_context
1775896633.091,2026-04-11T10:37:13,ai,,,,,,,,,-1,0,-1.0,,,,,,,,False,190,16,39,100,0.1,,,,,,
1775896637.717,2026-04-11T10:37:17,ai,,,True,True,False,True,130.0,274.1,4215,0,0.215,75,0,75,100,6,,,False,30,154,0,6494,4.6,set_cct(6500K); set_brightness_pct(12); brightness_feedback(confirmed),adaptive_eval,"Midday peak alertness (10:37), clear (lux proxy, 440 lx), bright ambient (440 lux). Brightness 12%, cool white 6500K. CCT 6500K aligns with circadian midday peak alertness target (6500K) - cool white light supports focus and productivity Brightness feedback: confirmed lux_smooth 440.0 -> 274.1.",,midday peak alertness,"clear (lux proxy, 440 lx)"
1775896638.129,2026-04-11T10:37:18,ai,,,True,True,False,True,130.0,274.1,4627,0,0.627,75,0,75,100,6,,,False,30,154,0,6494,5.1,,,,,,
1775896643.148,2026-04-11T10:37:23,ai,,,True,True,False,True,126.7,152.0,2646,1,0.646,72,0,72,100,11,,,False,30,154,0,6494,10.1,,,,,,
1775896648.169,2026-04-11T10:37:28,ai,,,True,True,True,True,130.0,132.4,666,3,0.666,90,50,84,100,16,,,False,30,154,0,6494,15.1,,,,,,
1775896653.19,2026-04-11T10:37:33,ai,,,True,True,False,True,110.0,118.6,1687,4,0.688,150,0,150,100,21,,,False,30,154,0,6494,20.2,,,,,,
1775896658.213,2026-04-11T10:37:38,ai,,,True,True,True,True,108.3,110.2,710,5,0.711,94,55,111,100,26,,,False,30,154,0,6494,25.2,,,,,,
1775896663.234,2026-04-11T10:37:43,ai,,,True,True,True,True,108.3,109.0,731,5,0.731,80,100,142,100,31,,,False,30,154,0,6494,30.2,,,,,,
1775896668.256,2026-04-11T10:37:48,ai,,,True,True,True,True,107.5,107.7,753,6,0.754,82,100,89,100,36,,,False,30,154,0,6494,35.2,,,,,,
1775896673.276,2026-04-11T10:37:53,ai,,,True,True,False,True,108.3,108.1,1775,7,0.776,90,0,90,100,41,,,False,30,154,0,6494,40.3,,,,,,
1775896678.296,2026-04-11T10:37:58,ai,,,True,True,True,True,107.5,107.9,795,9,0.795,89,100,110,100,46,,,False,30,154,0,6494,45.3,,,,,,
1775896683.315,2026-04-11T10:38:03,ai,,,True,True,True,True,107.5,106.8,814,9,0.815,105,79,99,100,51,,,False,30,154,0,6494,50.3,,,,,,
1775896688.333,2026-04-11T10:38:08,ai,,,True,True,False,True,105.8,106.2,1831,9,0.832,73,0,73,100,56,,,False,30,154,0,6494,55.3,,,,,,
1775896693.354,2026-04-11T10:38:13,ai,,,True,True,True,True,106.7,106.5,852,11,0.853,75,66,82,100,61,,,False,30,154,0,6494,60.3,,,,,,
1775896698.373,2026-04-11T10:38:18,ai,,,True,True,True,True,107.5,107.3,871,12,0.872,85,83,84,100,66,,,False,30,154,0,6494,65.3,,,,,,
1775896703.391,2026-04-11T10:38:23,ai,,,True,True,True,True,109.2,108.3,890,14,0.89,82,76,92,100,71,,,False,30,154,0,6494,70.4,,,,,,
1775896708.412,2026-04-11T10:38:28,ai,,,True,True,False,True,108.3,108.6,1911,14,0.912,91,0,91,100,76,,,False,30,154,0,6494,75.4,,,,,,
1775896713.435,2026-04-11T10:38:33,ai,,,True,True,True,True,108.3,108.7,934,15,0.934,87,100,100,100,81,,,False,30,154,0,6494,80.4,,,,,,
