ts_epoch,ts_iso,mode,profile_id,profile_name,raw_present,filt_occupied,moving,stationary,lux,lux_smooth,moving_age_ms,moving_events,sensor_age_s,move_dist,move_energy,still_dist,still_energy,sensor_seq,confirm_count,filter_stage,lamp_is_off,lamp_level,lamp_temp_dtr,lamp_temp_dtr1,cct_kelvin,runtime_s,action,reason,rationale,user_text,circadian_phase,weather_context,brightness_reasoning,target_lux,brightness_base_pct,weather_brightness_adjust_pct
1775905643.356,2026-04-11T13:07:23,ai,participant-01,Participant 01,True,True,True,True,443.3,427.6,635,0,0.636,124,100,96,100,214,,,False,190,16,39,100,1.8,,,,,,,,,,
1775905647.178,2026-04-11T13:07:27,ai,participant-01,Participant 01,True,True,False,True,162.5,297.8,3457,0,0.458,137,0,137,100,218,,,False,58,154,0,6494,5.5,set_cct(6500K); set_brightness_pct(23); brightness_feedback(confirmed),adaptive_eval,"Midday peak alertness (13:07), Clouds, 11C (lux: clear), bright ambient (443 lux). Brightness 23% because midday peak alertness target is 498 lux, ambient is 443 lux, circadian base is 11%, preferences added 10%, clouds weather added 2%. Cool white 6500K. CCT 6500K aligns with circadian midday peak alertness target (6500K) - cool white light supports focus and productivity Brightness feedback: confirmed lux_smooth 432.8 -> 297.8.",,midday peak alertness,"Clouds, 11C (lux: clear)","Brightness 23% because midday peak alertness target is 498 lux, ambient is 443 lux, circadian base is 11%, preferences added 10%, clouds weather added 2%.",497.7,10.9,2.0
1775905648.42,2026-04-11T13:07:28,ai,participant-01,Participant 01,True,True,False,True,163.3,257.4,4699,0,0.699,137,0,137,100,219,,,False,58,154,0,6494,6.8,,,,,,,,,,
1775905653.444,2026-04-11T13:07:33,ai,participant-01,Participant 01,True,True,False,True,165.0,180.3,9723,0,0.725,137,0,137,21,224,,,False,58,154,0,6494,11.9,,,,,,,,,,
1775905658.468,2026-04-11T13:07:38,ai,participant-01,Participant 01,False,True,False,False,167.5,169.0,14747,0,0.748,137,0,137,15,229,,,False,58,154,0,6494,16.9,,,,,,,,,,
1775905662.305,2026-04-11T13:07:42,ai,participant-01,Participant 01,False,False,False,False,168.3,168.4,18584,0,0.585,137,0,137,14,233,,,False,25,154,0,6494,20.7,set_brightness_pct(10),adaptive_vacant_dim,Desk vacant -> dimming to 10% as warning before shutdown,,,,,,,
1775905663.492,2026-04-11T13:07:43,ai,participant-01,Participant 01,False,False,False,False,168.3,168.4,19771,0,0.772,137,0,137,13,234,,,False,25,154,0,6494,21.9,,,,,,,,,,
1775905668.514,2026-04-11T13:07:48,ai,participant-01,Participant 01,False,False,False,False,169.2,168.9,24793,0,0.794,137,0,137,13,239,,,False,25,154,0,6494,26.9,,,,,,,,,,
1775905673.536,2026-04-11T13:07:53,ai,participant-01,Participant 01,False,False,False,False,169.2,169.1,29815,0,0.816,137,0,137,12,244,,,False,25,154,0,6494,32.0,,,,,,,,,,
1775905678.559,2026-04-11T13:07:58,ai,participant-01,Participant 01,False,False,False,False,167.5,168.7,34838,0,0.839,137,0,137,15,249,,,False,25,154,0,6494,37.0,,,,,,,,,,
